name,state,lat,lon
Bay Minette,AL,30.88296,-87.77305
Edna,TX,28.97859,-96.64609
Bayou La Batre,AL,30.40352,-88.24852
Henderson,TX,32.15322,-94.79938
Natalia,TX,29.18968,-98.86253
Bear Creek,AL,34.27482,-87.70058
Fort Hunt,VA,38.73289,-77.05803
Brighton,AL,33.43428,-86.94721
Plateau,AL,30.73562,-88.06063
Ocean View,DE,38.54511,-75.08907
Berry,AL,33.65983,-87.60001
Trinity,FL,28.18085,-82.68177
Villas,FL,26.55035,-81.8687
Bessemer,AL,33.40178,-86.95444
Aurora,IN,39.057,-84.90134
New Pekin,IN,38.50506,-86.01692
Stockton,KS,39.43807,-99.2651
Paducah,KY,37.08339,-88.60005
Monticello,LA,32.59653,-91.394
Red Chute,LA,32.55598,-93.61323
Jessup,MD,39.14927,-76.77525
Birmingham,AL,33.52066,-86.80249
Delhi Hills,OH,39.09284,-84.61272
Turpin Hills,OH,39.11006,-84.37994
Lugoff,SC,34.22737,-80.68925
Cordova,TN,35.15565,-89.7762
Blountsville,AL,34.08149,-86.5911
Blue Ridge,AL,32.49264,-86.19052
Buda,TX,30.08521,-97.84028
Boaz,AL,34.20065,-86.16637
Brent,AL,32.93735,-87.16472
Brewton,AL,31.10518,-87.07219
Bridgeport,AL,34.94758,-85.71442
Brook Highland,AL,33.43566,-86.67388
Brookside,AL,33.63788,-86.91666
Brookwood,AL,33.25567,-87.32083
Brundidge,AL,31.72016,-85.81606
Butler,AL,32.08959,-88.22197
Bynum,AL,33.61316,-85.96108
Cahaba Heights,AL,33.464,-86.73193
Calera,AL,33.1029,-86.7536
Camden,AL,31.99098,-87.29055
Carbon Hill,AL,33.89177,-87.52612
Cedar Bluff,AL,34.22009,-85.60774
Center Point,AL,33.64566,-86.6836
Centre,AL,34.15204,-85.67885
Centreville,AL,32.9462,-87.11669
Chalkville,AL,33.65316,-86.64777
Chatom,AL,31.46517,-88.25446
Chelsea,AL,33.34011,-86.63026
Cherokee,AL,34.75703,-87.97281
Chickasaw,AL,30.7638,-88.07472
Childersburg,AL,33.27817,-86.35498
Choccolocco,AL,33.65927,-85.70357
Citronelle,AL,31.09073,-88.22806
Clanton,AL,32.83874,-86.62943
Clay,AL,33.7026,-86.59971
Clayton,AL,31.87822,-85.44966
Cleveland,AL,33.99093,-86.57749
Clio,AL,31.70878,-85.6105
Coaling,AL,33.15901,-87.34083
Collinsville,AL,34.26398,-85.86053
Columbiana,AL,33.17817,-86.60721
Concord,AL,33.46761,-87.03111
Coosada,AL,32.49791,-86.33136
Cordova,AL,33.75983,-87.18333
Cottonwood,AL,31.04879,-85.30493
Cowarts,AL,31.20018,-85.30465
Creola,AL,30.89185,-88.03972
Crossville,AL,34.28759,-85.99414
Cullman,AL,34.17482,-86.84361
Dadeville,AL,32.83124,-85.76357
Daleville,AL,31.31017,-85.71299
Danville,AL,34.41454,-87.08751
Daphne,AL,30.60353,-87.9036
Dauphin Island,AL,30.25548,-88.10972
Deatsville,AL,32.60819,-86.39581
