       job_description_hash       | count 
----------------------------------+-------
 34ac0710882a469e0f3bd7261bfd6176 |  3101
 0bc81a38de28492a9c8efa744e6915eb |  1801
 9ae345ad6dfae924cbb0b3341dbf06fe |  1492
 9062279e1d263f68a072eab82a89a809 |  1299
 5e0d1fb3fd52a00151fb40bf6f7a23ac |  1298
 8d94df7064cabecfbc1a415912cd5de6 |  1296
 2aa38eee792d0695832c544b8d96d642 |  1294
 51ec579df9dcfec62636f0cad6ea2bf9 |  1256
 481f6f68be3699c665b0284be05deff1 |   973
 cc9517b3a435660b2800527501a209e6 |   956
 0949b105b8645081db6ef7d59319af8a |   924
 65f88345ffda6c60571d4549dcaeaa18 |   920
 165fa555047bd9401bd8355beaa3c2a3 |   838
 032d56d7a1089ab235b0a8e1f3bb3589 |   827
 703a00c1c0e5a2e2ac6221e1bd1109c7 |   793
 0f304bb0c52fa34b4fbcddead16ef220 |   738
 00e42fa2e9cae7176883473b4c0906da |   664
 7c0ea760989e2b466cb13d92d1fa1c3f |   640
 92b03a6d19a8f8869ae8651e97194c8d |   637
 67242a5c8a6237f5f557a052389dcf57 |   632
 4613488d4f30927ed123f302fab33872 |   612
 1cf8c14365b6d04825395f42f1600877 |   565
 b74138c171fa1b077df98653a41e91d9 |   543
 a8d82ef89c25ab6f3b9236f272bb2b0f |   540
 d74ae1c2ca76ae192fae9c72ea8f32d7 |   505
 9825ca6948e1e7b75b99ffa102515e99 |   503
 f817b69bd2519b281d988743a160a167 |   501
 33722ac7bdfd124ee4719e1d196a7765 |   497
 3304966b0e986fbb4a2861ab53c3fefc |   497
 5520b69ae49f11786c813814aeffe8d1 |   492
 aeaef06fe62a72cc494b460c81a21637 |   492
 c04b9c98ff3f3a7ad3fb61d85f401e70 |   492
 b85b6bbded5398c57a75a9e82e1f3bdb |   482
 60286465a207144d295be1462510e0e0 |   481
 cccbd34ce8ce49cc49fe1f887cc9dbb7 |   475
 5e568be69efdea937504e03b944b5f62 |   471
 673df028e585e70838bf4409f64e6f6d |   465
 595d334f07555c53930ac81c07a0e71c |   452
 15ffdfe2ab8082c299f8d2cda8464da9 |   421
 9388bc83dad1224364f9aa7d691bdc76 |   415
 ae2615a51e4b8e8c4a81beba7a149cef |   412
 d7034a3648693d1eaa3a3457e133c056 |   408
 bdeb165fded52b36ab8db6af0fae6263 |   403
 fe2c770b81f21b113127df0029989361 |   395
 c6c5b1f58d5c37f101632ef816a3feef |   394
 b8e170b0862bea7b1c7b6e4690ff93f3 |   383
 e1452cee2efea6eb054dba39f15cfec8 |   381
 c2b243d04dc4f47ee974387afec225d0 |   375
 6491d2867ecc1134b0b5ab4824113146 |   372
 5c0262a6ad833033b3b994b4dfa3a2a9 |   372
 a50472d206e9352ef2926f3a61dd60dd |   358
 3f262e0aec9b9f27d9472e64c8f4499a |   346
 d2a4a8dbd6032c98225f30afa6379a8e |   344
 0e43fe64706fa32b7fea06de231868e9 |   338
 e5f2322fd21970c5e62e19947fabe503 |   333
 9dd8d6c5327b64885ccdc9a5abc4dac8 |   322
 8a53bf8848e86435a68d3ea398b158f5 |   318
 a6814d2f187cff38e1c482d452bd1a2c |   290
 26a0757098628c5115e343e46eb4d472 |   284
 d0f47f4080851ded3d7c5ced4e94c0cc |   281
 a484204b08f35a7394285d4d8a28bc91 |   280
 b99b8c8df8fa99f74909d0ad930d3e14 |   277
 9bfbf42d59a3390d7fb986964fa3221a |   274
 ef2da3edd2a2ffc324dd0294872b86d8 |   273
 f4f2498db0034e304c09ec3517a80bd9 |   272
 376a233c934c74b9dd0d3a096c7e2c56 |   267
 7ecec5b6cd8582abb72371938b268e4a |   264
 afbdedeb6d9ad119c0e0425b2e7dd7ef |   261
 26d3dc88eea888e4e251b6ad324b5c22 |   259
 4188a0c605c3288283ab758118d486f9 |   259
 c54103fff1576cf79999cf6913015f40 |   253
 47d1b5690fb6fb1feef0ce85db1bf6e4 |   252
 550afaca193aec6d3882aa936e1dd394 |   249
 f52f9fb1e935b093c49c2fdfd1a5863b |   249
 431e1c0567a67d0cd71fd4ba275ba789 |   248
 22eef763ef14b0be54687ff385811882 |   247
 8e00ecbec99316958fa6a6683913e0a9 |   247
 493cb1d7847798f7574b20f9c4f3b831 |   246
 5a6def40c87bfff621fca3efaefd6ec9 |   245
 8cfe113fc5a7c63d12fd2ff20269273a |   245
 7885a9d9869fb803dc522624181fc60e |   244
 aa3d902504ce7e02ab56be6192bdf40f |   243
 4e2b1edf07fee9eef7e160e453f822da |   241
 ab12098ce88e41b5a3273609b45339bc |   239
 96b61b599d5a18f788b0d016131e1b6a |   239
 99f9f4bd26a84cb0791caa34e06eead0 |   236
 9f337e1f0b4b11ca17220eb7a133a29d |   234
 dee80f0a121be8863512f4ff71c9d585 |   234
 4dc88314cab19f83eeb43c708f7a4164 |   231
 48c0bf2e92eef0653899a5c2db46ce16 |   230
 78c681e1a955ad74ad16cea72a2f168b |   228
 4de7d06524bb8e0a377ed03bafe96272 |   223
 9be42c0ac454e30a9a59772d6f97898f |   220
 b21cd1f01ec72dbd86c8640dd1999c4a |   216
 78c4ae9316516cf6401a0d9c9e53a9ea |   216
 605498e55240c79987e6e71aee6d234a |   215
 eb54cc4c551c7323d8ac3c34a493bfc0 |   212
 dddd76c71a35c19f6ba6bbbb19f2922a |   211
 6f810d4709e07c76b37738875e5d353a |   205
 2732959e0709f33da2ac0440744ec63d |   205
 85df6dff25692af32c4c50d27bb10e89 |   203
 77cf3dfb46b017773760c48055546a3c |   201
